,values
cover_crops_39.9,1.0
cover_crops_40.0120.0,1.0
cover_crops_40.081.0,2.0
cover_crops_41.73,9.0
cover_crops_42.57,6.0
cover_crops_42.77,1.0
cover_crops_430.0,1.0
cover_crops_439.61,1.0
cover_crops_450.0,1.0
cover_crops_5.010.0,6.0
cover_crops_5.037.0,16.0
cover_crops_50.0100.0,1.0
cover_crops_50.070.0,8.0
cover_crops_52.0,8.0
cover_crops_527.46,14.0
cover_crops_55.44,4.0
cover_crops_56.0,3.0
cover_crops_57.9,8.0
cover_crops_576.0,3.0
cover_crops_58.0,9.0
cover_crops_58.025.015.010.0,16.0
cover_crops_59.0,1.0
cover_crops_59.2,18.0
cover_crops_59.57548.5288.6,6.0
cover_crops_590.0,15.0
cover_crops_590.6,2.0
cover_crops_591.11,12.0
cover_crops_6.010.0,1.0
cover_crops_6.0100.0,9.0
cover_crops_60.0,8.0
cover_crops_601.4,9.0
cover_crops_601.6,25.0
cover_crops_62.7,1.0
cover_crops_631.0,1.0
cover_crops_64.0,1.0
cover_crops_65.0,6.0
cover_crops_668.0132.0,2.0
cover_crops_67.0793.0,1.0
cover_crops_68.0,1.0
cover_crops_680.91,8.0
cover_crops_683.3,3.0
cover_crops_683.37,1.0
cover_crops_69.070.070.0,1.0
cover_crops_69.1,9.0
cover_crops_7.035.0,1.0
cover_crops_7.2122.0,39.0
cover_crops_70.0,2.0
cover_crops_71.2,1.0
cover_crops_72.0,1.0
cover_crops_74.0,2.0
cover_crops_74.63,14.0
cover_crops_77.0,8.0
cover_crops_77.0407.88,3.0
cover_crops_77.277.2,7.0
cover_crops_77.6,8.0
cover_crops_78.0,4.0
cover_crops_8.011.08.0,1.0
cover_crops_8.032.010.0,1.0
cover_crops_8.081.0,1.0
cover_crops_80.0,1.0
cover_crops_83.0,3.0
cover_crops_85.0,1.0
cover_crops_85.0255.0,2.0
cover_crops_88.0,1.0
cover_crops_89.011.0,3.0
cover_crops_9.083.0,5.0
cover_crops_977.0,18.0
cover_crops_annual_cover_crop 78.84,6.0
data_year_id_2012/2013,9.0
data_year_id_2013/2014,10.0
data_year_id_2014/2015,9.0
data_year_id_2015/2016,9.0
data_year_id_2016/2017,15.0
data_year_id_2017/2018,23.0
data_year_id_2018/2019,9.0
data_year_id_2019/2020,1.0
data_year_id_2020/2021,1.0
irrigation_energy_,19.0
irrigation_energy_10.4567.33,1.0
irrigation_energy_11.017.0,3.0
irrigation_energy_113.0113.0,2.0
irrigation_energy_116.0,3.0
irrigation_energy_120.0,3.0
irrigation_energy_123.0,12.0
irrigation_energy_13.0106.0,9.0
irrigation_energy_141.64,6.0
irrigation_energy_16.67,5.0
irrigation_energy_200.0200.0,1.0
irrigation_energy_209.0209.0,6.0
irrigation_energy_259.0,2.0
irrigation_energy_26.0,3.0
irrigation_energy_27.0202.64,1.0
irrigation_energy_300.0,2.0
irrigation_energy_32.532.5,15.0
irrigation_energy_377.49377.49,2.0
irrigation_energy_38.0,1.0
irrigation_energy_382.0,6.0
irrigation_energy_4.74.7,5.0
irrigation_energy_506.0,1.0
irrigation_energy_58.0,1.0
irrigation_energy_590.0,1.0
irrigation_energy_65.0,1.0
irrigation_energy_65.0258.090.0,2.0
irrigation_energy_67.0,4.0
irrigation_energy_70.0,5.0
irrigation_energy_72.0,2.0
irrigation_energy_8.25,7.0
irrigation_energy_80.0,5.0
irrigation_energy_85.43,3.0
irrigation_energy_90.31,1.0
irrigation_type_,2.0
irrigation_type_100.0,1.0
irrigation_type_113.0,2.0
irrigation_type_123.7,15.0
irrigation_type_161.77,4.0
irrigation_type_1788.0774.0,1.0
irrigation_type_185.0,7.0
irrigation_type_20.020.0160.0,18.0
irrigation_type_200.0,1.0
irrigation_type_200.019.43,3.0
irrigation_type_206.0,4.0
irrigation_type_207.44.6,4.0
irrigation_type_21.917.4,1.0
irrigation_type_228.0,6.0
irrigation_type_233.0,8.0
irrigation_type_243.0,1.0
irrigation_type_255.0,2.0
irrigation_type_26.2,8.0
irrigation_type_275.0,11.0
irrigation_type_320.0,2.0
irrigation_type_38.0,7.0
irrigation_type_38.6,4.0
irrigation_type_414.0,6.0
irrigation_type_42.0,22.0
irrigation_type_49.03.0,9.0
irrigation_type_50.0,2.0
irrigation_type_500.0,5.0
irrigation_type_52.0,9.0
irrigation_type_54.0,1.0
irrigation_type_60.0,4.0
irrigation_type_60.04.0,10.0
irrigation_type_60.05.0,5.0
irrigation_type_64.2,6.0
irrigation_type_67.5,18.0
irrigation_type_7.07.0,15.0
irrigation_type_70.0,1.0
irrigation_type_83.0,17.0
irrigation_type_85.0,1.0
irrigation_type_86.88,7.0
irrigation_type_9.0,6.0
irrigation_type_92.0,2.0
irrigation_type_97.0,1.0
water_type_100.0,11.0
water_type_105.0,1.0
water_type_1053.4,2.0
water_type_106.0,5.0
water_type_1100.0,5.0
water_type_114.0,9.0
water_type_12.012.0,9.0
water_type_12.595,1.0
water_type_13.770.73,7.0
water_type_1322.0,8.0
water_type_145.0,3.0
water_type_1480.0,3.0
water_type_150.0,3.0
water_type_172.0,2.0
water_type_180.0,1.0
water_type_1850.0,9.0
water_type_200.0,2.0
water_type_208.0,1.0
water_type_210.0,2.0
water_type_250.0,2.0
water_type_27.06.0,5.0
water_type_275.010.0,2.0
water_type_3.05.61.3,2.0
water_type_34.033.0,1.0
water_type_37.2733.46,5.0
water_type_380.0,18.0
water_type_384.0,2.0
water_type_3939.83,1.0
water_type_4.05.08.0,2.0
water_type_4.86.90.95,6.0
water_type_40.0,1.0
water_type_40.07.0,2.0
water_type_426.0,1.0
water_type_46.0710.422.19,11.0
water_type_470.0,4.0
water_type_48.068.0,3.0
water_type_490.0,2.0
water_type_5.3520.6311.045,9.0
water_type_500.0,45.0
water_type_5103.0,3.0
water_type_57.90.3,24.0
water_type_620.0,7.0
water_type_650.0,13.0
water_type_67.03,4.0
water_type_68.069171.33mains_water ,32.0
water_type_700.0,1.0
water_type_800.0,21.0
water_type_9.7441.856,3.0
water_type_90.055.0,2.0
water_type_900.0300.0,2.0
water_type_940.0,13.0
water_type_97.118.3114.0,13.0
